"ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",147.684768030234,0.221239677061414,0.191422419565403,1.1557667987047,0.247776556877972,0.580661371441053
"DPM1",84.4926101686905,-0.0907681377187294,0.194601722512589,-0.466430289242982,0.64090753498084,0.859120750899035
"SCYL3",50.1130037405342,0.191280662060809,0.262451482000782,0.728822945111963,0.466109974104717,0.75404797590852
"FIRRM",25.4078381513679,0.42551889426402,0.417262120166884,1.01978797906178,0.307829025496357,0.632734554130524
"CFH",380.678264310337,0.750906385150513,0.243079145569072,3.08914359309832,0.00200734393545056,0.0646742600191166
"FUCA2",237.400041229564,0.28867558631844,0.275214526498274,1.04891115302466,0.294219011881734,0.62088803464272
"GCLC",341.585220359857,0.800141826752146,0.297035018390488,2.69376261118231,0.00706504641995622,0.11987816682585
"NFYA",117.355397595577,0.077705946968101,0.164047449799143,0.473679700984336,0.635728330762474,0.855785606392187
"STPG1",60.2480793322841,-0.44011546448163,0.271326473225392,-1.62208817757353,0.10478446917931,0.406347702201158
"NIPAL3",385.111575630255,0.146577724036112,0.225256735488114,0.650714056201202,0.515231087841238,0.785466409019157
"LAS1L",110.80962678939,0.049198717522493,0.233011526017474,0.211142849297522,0.8327758049457,0.94223627410778
"ENPP4",25.2831463465782,0.443499459292521,0.416709670660852,1.06428885748964,0.287197864095068,0.614853088344866
"SEMA3F",1106.40835173203,0.313446504578969,0.189747498688219,1.65191376300566,0.0985521319947122,0.394007107563093
"CFTR",30.435055604925,0.885254561504868,0.684993710250244,1.29235429210213,0.196234478067663,0.528811755962027
"ANKIB1",259.95985660924,-0.144945750161906,0.114117642280745,-1.27014322470245,0.204033617050765,0.538246672967673
"CYP51A1",20.952220326928,0.0947979119270514,0.356898832619483,0.265615640239772,0.790535239002519,0.928370414036148
"KRIT1",101.071976874469,0.0331499002672542,0.137726847100335,0.240693089003223,0.809792995706199,0.936371654334785
"RAD52",61.6338146560691,0.33717900521218,0.250061145382822,1.3483862304797,0.177534190376041,0.507560856644846
"MYH16",17.9566359504441,-1.08163641731366,0.70341773979841,-1.53768714679224,0.124125127833465,0.437757741352245
"BAD",90.2057385360607,-0.113219922504242,0.175027037190765,-0.646871045305083,0.517715406774732,0.78715734638654
"LAP3",65.1732481823465,0.104118018645144,0.249597312498395,0.41714398926396,0.676573090923937,0.877782409078254
"CD99",650.196961297023,0.261487589979429,0.332349284393459,0.786785476179516,0.431407457002,0.730644688772837
"HS3ST1",151.996365766453,-1.13534741429982,0.30807517925819,-3.68529336583883,0.000228439356891719,0.0204445759079628
"MAD1L1",41.4293543827865,-0.102239574409526,0.218788316467102,-0.467299059019447,0.64028592958991,0.858829166902363
"LASP1",888.911492893864,-0.0338071327391458,0.108646540081255,-0.311166215821157,0.75567426486698,0.915491068010903
"SNX11",51.167227415675,-0.260234779367209,0.18374062391713,-1.41631596660181,0.156683015117046,0.482605044885584
"M6PR",317.791155569385,0.199771046983882,0.174596268292305,1.14418852669537,0.252545460238825,0.585335275542976
"KLHL13",9.66485736986363,0.490873344565451,0.503381937445808,0.975150890507064,0.329485418124104,0.65192690063326
"CYP26B1",19.7125112336589,1.31407445583228,0.59976330042212,2.19098843645054,0.0284526292585656,0.230397310725925
"ICA1",76.4603716640546,-0.153746198907244,0.289940438755519,-0.530268214972539,0.595925981062322,0.833974499537102
"DBNDD1",77.2331201963483,-0.0900716519211788,0.415199625157463,-0.216935773694447,0.828258398016475,0.941285290240157
"ALS2",103.587185820077,0.0403502000927558,0.166409197878223,0.242475780228709,0.808411521561158,0.935974999324435
"CASP10",91.6950616296296,0.270799455647304,0.425638298416558,0.636219665041236,0.524633257485287,0.791915437032658
"CFLAR",1198.05599754588,0.0314049877289306,0.272746263478763,0.115143603906331,0.908331298801301,0.971058522734253
"TFPI",245.883923281262,0.754311310225855,0.463014417463851,1.62913136562264,0.103285212567252,0.403159753615558
"NDUFAF7",71.5225946060934,0.23766252243353,0.16178485058764,1.46900356597224,0.141831822011616,0.460323095237038
"RBM5",536.984644932285,0.156309102930509,0.226607131859358,0.689780156731876,0.490332449200004,0.77053041337124
"SLC7A2",30.8386019743257,2.60114628165927,0.967846221806469,2.68756153927457,0.00719758382231276,0.120362228076239
"ARF5",163.844044899713,-0.214790678954591,0.18193413000334,-1.18059585054574,0.237763312821116,0.571963576854455
"SARM1",7.73605524960357,0.666952802891562,0.597010052147404,1.11715506379261,0.263928030210726,0.595488576939682
"POLDIP2",184.581828141793,-0.354309562825178,0.187985977660165,-1.88476591304958,0.0594614489506944,0.318297740610578
"PLXND1",78.2259305378309,3.5277865889618,0.838619512641624,4.20665932020755,2.59173390182645e-05,0.00581780529798518
"AK2",265.134286169555,-0.249719688178662,0.126871003910415,-1.96829598948387,0.0490339911394504,0.294337009242507
"FKBP4",318.368043399041,-0.260686270117269,0.249057994713481,-1.04668902685563,0.29524302631817,0.622154933729564
"KDM1A",243.554919245822,0.12228688006689,0.175720819166352,0.695915718166118,0.486481613125789,0.767448493149942
"RBM6",328.544938740968,0.0990041252905448,0.20094418012729,0.492694663900341,0.622228348604209,0.849034282372167
"CAMKK1",25.2931095728092,-0.396502765358147,0.375320633570119,-1.05643742947607,0.290768413206099,0.617860316888751
"RECQL",111.529315228007,-0.00322804395146367,0.28887100236078,-0.0111746901734085,0.991084072800072,0.99760513497054
"VPS50",70.9448563784446,-0.0730378676228343,0.176713456749643,-0.413312426604331,0.679377726563849,0.878634296095566
